Rank,R,Q,D*S,Edges,Diam,APL
79,0.9888054399602165,2.5101214574898782,18.2,26,7,3.263157894736842
80,0.9877907370048387,2.5870445344129553,18.2,26,7,3.363157894736842
81,0.987617590276074,2.405458089668616,18.900000000000002,27,7,3.2473684210526317
82,0.9869435118020737,2.868421052631579,16.8,24,7,3.442105263157895
83,0.9862382079945649,2.916666666666667,16.8,24,7,3.5
84,0.9835507018051421,2.885964912280702,16.8,24,7,3.463157894736842
85,0.980942228585181,2.81140350877193,16.8,24,7,3.373684210526316
86,0.980932295838548,2.93421052631579,19.2,24,8,3.5210526315789474
87,0.9808819360689301,2.694736842105263,17.5,25,7,3.3684210526315788
88,0.9807805555139415,2.892448512585813,16.099999999999998,23,7,3.3263157894736843
89,0.9783326828562183,2.933638443935927,16.099999999999998,23,7,3.373684210526316
90,0.9767833757505375,3.0526315789473686,16.099999999999998,23,7,3.5105263157894737
91,0.9762491874710714,2.956140350877193,19.2,24,8,3.5473684210526315
92,0.974777937132781,3.1578947368421058,16.099999999999998,23,7,3.6315789473684212
93,0.970634567826053,3.359267734553776,20.7,23,9,3.863157894736842
94,0.9700172622877427,3.311004784688995,15.400000000000002,22,7,3.642105263157895
95,0.9696850471524568,3.280701754385965,21.599999999999998,24,9,3.9368421052631577
96,0.9696625332185949,3.359267734553776,20.7,23,9,3.863157894736842
97,0.9630938358311201,3.2494279176201375,18.4,23,8,3.736842105263158
98,0.9625107717842873,3.212814645308925,18.4,23,8,3.694736842105263
99,0.9619688964607105,3.492822966507177,19.8,22,9,3.8421052631578947
100,0.9605756634915211,3.2951945080091534,18.4,23,8,3.789473684210526
101,0.957197929906843,3.368421052631579,21.599999999999998,24,9,4.042105263157895
102,0.9532042128153589,3.5377574370709386,20.7,23,9,4.068421052631579
103,0.9431982948031029,3.7033492822966503,17.6,22,8,4.073684210526316
104,0.939338391814339,4.110275689223058,21.0,21,10,4.315789473684211
105,0.9384936924797126,4.110275689223058,21.0,21,10,4.315789473684211
106,0.9365937756149684,3.6602870813397126,19.8,22,9,4.026315789473684
107,0.9280531281561192,3.808612440191387,19.8,22,9,4.189473684210526
108,0.9272949387108529,3.866028708133971,22.0,22,10,4.252631578947368
109,0.9212850622891826,4.245614035087719,21.0,21,10,4.457894736842105
110,0.9208526529251916,4.110275689223058,21.0,21,10,4.315789473684211
111,0.9202758619616221,4.065162907268171,21.0,21,10,4.268421052631579
112,0.9188926624235844,4.062200956937799,19.8,22,9,4.468421052631579
113,0.918713575308226,4.164759725400458,20.7,23,9,4.7894736842105265
114,0.8623255565324601,5.2631578947368425,20.0,20,10,5.2631578947368425
115,0.8471966438688381,5.2631578947368425,20.0,20,10,5.2631578947368425
116,0.846094192166764,5.2631578947368425,20.0,20,10,5.2631578947368425
117,0.8431807061418725,5.2631578947368425,20.0,20,10,5.2631578947368425
